DMY,Current_Price,Open,High,Low,Volume,% Changes
10/9/2020,"1,796.99","1,814.99","1,817.25","1,791.08",2.52B,-0.60%
10/12/2020,"1,805.96","1,800.14","1,814.37","1,792.14",2.07B,0.50%
10/14/2020,"1,787.92","1,797.64","1,800.95","1,777.53",2.35B,-1.00%
10/15/2020,"1,757.31","1,772.64","1,778.99","1,754.12",2.60B,-1.71%
10/16/2020,"1,744.39","1,761.68","1,765.95","1,733.52",2.17B,-0.74%
10/19/2020,"1,708.00","1,725.75","1,727.88","1,700.89",2.36B,-2.09%
10/20/2020,"1,709.89","1,701.93","1,724.14","1,693.67",1.99B,0.11%
10/21/2020,"1,720.22","1,720.60","1,728.76","1,710.42",2.15B,0.60%
10/22/2020,"1,716.16","1,716.16","1,733.38","1,700.18",2.37B,-0.24%
10/26/2020,"1,705.63","1,714.47","1,717.36","1,700.77",1.48B,-0.61%
10/27/2020,"1,707.96","1,692.60","1,713.22","1,686.21",1.85B,0.14%
10/28/2020,"1,704.23","1,704.34","1,721.43","1,700.88",2.24B,-0.22%
10/29/2020,"1,693.32","1,691.70","1,702.56","1,683.75",1.99B,-0.64%
10/30/2020,"1,682.72","1,697.35","1,698.47","1,669.20",2.22B,-0.63%
11/2/2020,"1,693.19","1,684.88","1,694.71","1,676.13",2.08B,0.62%
11/3/2020,"1,726.50","1,705.45","1,728.90","1,705.21",2.59B,1.97%
11/4/2020,"1,724.65","1,728.68","1,741.48","1,712.73",2.45B,-0.11%
11/5/2020,"1,796.18","1,744.58","1,801.01","1,741.22",3.55B,4.15%
11/6/2020,"1,790.47","1,797.60","1,806.80","1,775.40",3.32B,-0.32%
11/9/2020,"1,834.32","1,825.60","1,850.49","1,819.23",3.83B,2.45%
11/10/2020,"1,944.93","1,919.55","1,953.59","1,887.84",7.62B,6.03%
11/11/2020,"1,951.97","1,965.49","1,971.62","1,927.30",4.88B,0.36%
11/12/2020,"1,932.44","1,942.09","1,943.28","1,917.09",3.52B,-1.00%
11/13/2020,"1,949.24","1,921.36","1,960.16","1,916.30",5.02B,0.87%
11/16/2020,"1,955.67","1,972.20","1,980.14","1,955.25",3.96B,0.33%
11/17/2020,"1,952.02","1,964.58","1,979.05","1,943.65",4.51B,-0.19%
11/18/2020,"1,977.56","1,944.43","1,977.63","1,936.07",2.93B,1.31%
11/19/2020,"1,981.06","1,974.06","1,992.27","1,971.77",3.25B,0.18%
